t,v,obs_n,obs_d,obs_x,obs_y,obs_r,raw_n,raw_d,raw_far,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
4.077,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.60,3.00,0.0443,0.0133
4.098,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.60,3.00,0.0379,0.0112
4.117,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.66,3.00,0.0345,0.0028
4.138,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.41,3.00,0.0278,0.0009
4.157,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.41,3.00,0.0472,0.0203
4.177,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.37,3.00,0.0448,0.0163
4.197,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.67,3.00,0.0389,0.0112
4.217,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.67,3.00,0.0347,0.0044
4.238,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.62,3.00,0.0279,0.0249
4.257,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.90,3.00,0.0478,0.0194
4.278,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.90,3.00,0.0432,0.0162
4.297,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,17.77,3.00,0.0375,0.0104
4.317,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.67,3.00,0.0335,0.0050
4.338,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.67,3.00,0.0286,0.0258
4.357,0.000,0,,,,,1,0.559,0.559,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.37,3.00,0.0478,0.0187
4.377,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.90,3.00,0.0431,0.0167
4.397,0.000,0,,,,,1,0.559,0.559,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.90,3.00,0.0366,0.0106
4.417,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.85,3.00,0.0338,0.0046
4.439,0.000,0,,,,,1,0.554,0.554,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.95,3.00,0.0317,0.0008
4.459,0.000,0,,,,,1,0.554,0.554,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.95,3.00,0.0514,0.0205
4.477,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.07,3.00,0.0441,0.0158
4.497,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.07,3.00,0.0400,0.0115
4.517,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.43,3.00,0.0324,0.0046
4.537,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.89,3.00,0.0284,0.0005
4.557,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.89,3.00,0.0484,0.0204
